BOURBLE | 2 ounces bourbon + 1/2 ounce lemon juice + 1/2 ounce Cointreau or triple sec | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
MAYOR BILLY | 3/4 ounce sweet vermouth + 2 teaspoons orange juice + 3/4 ounce dry vermouth + 2 dashes orange bitters + 1/2 ounce gin | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
MERCENARY | 2 ounces dry vermouth + 1 teaspoon green crème de menthe + 1/2 ounce Armagnac | In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
MOI? | 2 ounces dry vermouth + 1 ounce lemon juice + 1/2 ounce gin + 4 ounces tonic water + 2 teaspoons crème de cassis + 1 lemon wedge | In a shaker half-filled with ice cubes, combine the vermouth, gin, cassis, and lemon juice. Shake well. Strain into a collins glass almost filled with ice cubes. Top with the tonic water. Stir well and garnish with the lemon wedge. | Collins Glass
MUCH FUSS FOR THE CONQUERING HERO | 1 ounce sweet vermouth + 1 teaspoon pineapple + 3/4 ounce applejack + 2 teaspoons apricot brandy juice + 1 teaspoon lemon juice + 2 dashes orange bitters | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
NEGRONI | 1 ounce Campari + 1 ounce sweet vermouth + 1 ounce gin + 1 lemon twist | Pour the Campari, gin, and vermouth into an old-fashioned glass almost filled with ice cubes. Stir well and garnish with the lemon twist. | Old-Fashioned Glass
PAMMY KAY | 1 ounce dry vermouth + 1/2 teaspoon lemon juice + 1/2 ounce gin + 1/2 teaspoon lime juice + 1/2 ounce apricot brandy | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
PHOEBE SNOW | 2 ounces Dubonnet Rouge + 1 1/2 ounces brandy + 1 teaspoon Pernod | In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
PIGGOT’S PREFERENCE | 1 1/2 ounces dry vermouth + 2 teaspoons Cointreau or triple sec + 1/2 ounce Southern Comfort + 2 teaspoons light rum + 1 dash orange bitters + 1 maraschino cherry | In a mixing glass half-filled with ice cubes, combine the vermouth, Southern Comfort, rum, Cointreau, and orange bitters. Stir well. Strain into a cocktail glass. Garnish with the cherry. | Cocktail Glass
SACRED MOUNTAIN OF THE PEKINGESE CLOUD GODS | 1 ounce dry vermouth + 2 ounces orange juice + 1/2 ounce Southern Comfort + 2 teaspoons blue Curaçao | Pour the vermouth and Southern Comfort into an old-fashioned glass almost filled with ice cubes. Stir well. Add the orange juice; do not stir. Drop the blue Curaçao into the center of the drink. Add straws and drink from the bottom up. | Old-Fashioned Glass
SAME OLD SONG | 1 ounce sweet vermouth + 1 teaspoon lemon juice + 1/2 ounce dry vermouth + 1 dash orange bitters + 1 ounce gin + 1 orange slice + 1 ounce orange juice | In a shaker half-filled with ice cubes, combine the sweet vermouth, dry vermouth, gin, orange juice, lemon juice, and orange bitters. Shake well. Strain into a cocktail glass and garnish with the orange slice. | Cocktail Glass
SEETHING JEALOUSY | 1 ounce sweet vermouth + 1/2 ounce cherry brandy + 1/2 ounce Scotch + 1/2 ounce orange juice | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
SHOOING AWAY THE TRIBES OF THE NIGHT | 1 ounce dry vermouth + 1/4 teaspoon cherry + 3/4 ounce brandy brandy + 1/2 teaspoon Cointreau or triple sec + 1 dash bitters + 1 maraschino cherry + 1/4 teaspoon Ricard + 1 orange slice | Pour the vermouth, brandy, Cointreau, Ricard, cherry brandy, and bitters into an old-fashioned glass almost filled with ice cubes. Stir well and garnish with the cherry and the orange slice. | Old-Fashioned Glass
STRONG-ARMED CHRIS RETURNS TO THE DEN | 1 ounce dry vermouth + 1 teaspoon sweet vermouth + 3/4 ounce white crème de cacao + 3/4 ounce maraschino liqueur + 1 maraschino cherry | In a mixing glass half-filled with ice cubes, combine the dry vermouth, sweet vermouth, crème de cacao, and maraschino liqueur. Stir well. Strain into a cocktail glass. Garnish with the cherry. | Cocktail Glass
SWEET NAN | 1 ounce sweet vermouth + 2 teaspoons Bénédictine + 1 ounce brandy | Pour all of the ingredients into an old-fashioned glass almost filled with ice cubes. Stir well. | Old-Fashioned Glass
TANNERSWORTH | 1 ounce Dubonnet Rouge + 1/2 ounce dry vermouth + 1/2 ounce gin | In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
THANKSGIVING COCKTAIL | 1 ounce dry vermouth + 1/2 teaspoon crème de cassis + 3/4 ounce gin + 3/4 ounce apricot brandy + 1/2 teaspoon lemon juice | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
TRINITY COCKTAIL | 1 ounce sweet vermouth + 1 ounce gin + 1 ounce dry vermouth | In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
TRIPLET COCKTAIL | 1 ounce dry vermouth + 2 teaspoons lemon juice + 1 ounce gin + 1 maraschino cherry + 1 ounce peach brandy | In a shaker half-filled with ice cubes, combine the vermouth, gin, peach brandy, and lemon juice. Shake well. Strain into a cocktail glass and garnish with the cherry. | Cocktail Glass
TRUE TRIXIE | 2 ounces Campari + 3/4 ounce Cointreau or triple sec + 3/4 ounce dry vermouth | In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into an old-fashioned glass almost filled with ice cubes. | Old-Fashioned Glass
VERMOUTH CASSIS | 2 ounces dry vermouth + 1 lemon twist + 2 teaspoons crème de cassis | Pour the vermouth and cassis into a wine goblet with about 4 ice cubes. Stir well and garnish with the lemon twist. | Goblet
VERMOUTH CASSIS TALL | 2 ounces dry vermouth + 1 lemon twist + 1/2 ounce crème de cassis + 4 ounces club soda | Pour the vermouth and cassis into a highball glass almost filled with ice cubes. Top with the club soda. Stir well and garnish with the lemon twist. | Highball Glass
VERMOUTH COCKTAIL | 1 1/2 ounces sweet vermouth + 2 dashes orange bitters + 1 maraschino cherry + 1 1/2 ounces dry vermouth | In a mixing glass half-filled with ice cubes, combine the sweet vermouth, dry vermouth, and orange bitters. Stir well. Strain into a cocktail glass and garnish with the cherry. | Cocktail Glass
WARRIOR | 1 ounce sweet vermouth + 1/2 teaspoon Pernod + 1 ounce dry vermouth + 1/2 teaspoon Cointreau or triple sec + 1/2 ounce brandy | In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
WEDDING BELL COCKTAIL | 1 ounce + 3/4 ounce gin + 2 teaspoons cherry brandy Dubonnet Rouge + 1 tablespoon orange juice + 1 dash orange bitters | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
WESTERMAN SINGS THE BLUES | 1 ounce dry vermouth + 1 teaspoon Pernod + 1/2 ounce gin + 1 orange slice | In a mixing glass half-filled with ice cubes, combine the vermouth, gin, and Pernod. Stir well. Strain into a cocktail glass and garnish with the orange slice. | Cocktail Glass
WILFRED’S WEATHER | 1 ounce dry vermouth + 1/2 teaspoon Ricard + 3/4 ounce gin + 1 dash bitters | In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
WYSOOSLER | 1 ounce sweet vermouth + 2 dashes orange bitters + 3/4 ounce gin + 3/4 ounce green Chartreuse | In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
ALABAMA SLAMMER | 1 1/2 ounces amaretto + 1/2 ounce sloe gin + 1 ounce Southern Comfort + 1/2 ounce lemon juice | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into an old-fashioned glass almost filled with ice cubes. | Old-Fashioned Glass
AMARETTO SOUR | 2 ounces amaretto + 1 orange slice + 1 ounce lemon juice + 1 maraschino cherry + 1/2 teaspoon superfine sugar | In a shaker half-filled with ice cubes combine the amaretto, lemon juice, and sugar. Shake well. Strain into a sour glass. Garnish with the orange slice and the cherry. | Sour Glass
BOCCIE BALL | 2 ounces amaretto + 5 ounces orange juice | Pour the amaretto and orange juice into a highball glass almost filled with ice cubes. Stir well. | Highball Glass
PINK PANTHER | 1 ounce amaretto + 1 teaspoon grenadine + 1/2 ounce vodka + 2 ounces light cream | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
TOASTED ALMOND | 1 1/2 ounces amaretto + 2 ounces light cream + 1 ounce Kahlúa | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into an old-fashioned glass almost filled with ice cubes. | Old-Fashioned Glass
JACK ROSE | 2 ounces applejack + 1 teaspoon grenadine + 1 ounce lemon juice | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
A.B.C. | 1 1/2 ounces apricot + 1 ounce Scotch brandy + 1/2 ounce sweet vermouth | In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
APRICOT FIZZ | 2 1/2 ounces apricot + 1/2 teaspoon superfine sugar brandy + 1 ounce lemon juice + 4 ounces club soda | In a shaker half-filled with ice cubes, combine the apricot brandy, lemon juice, and sugar. Shake well. Strain into a collins glass almost filled with ice cubes. Add the club soda. Stir well. | Collins Glass
APRICOT SOUR | 2 ounces apricot brandy + 1 orange slice + 1 ounce lemon juice + 1 maraschino cherry + 1/2 teaspoon superfine sugar | In a shaker half-filled with ice cubes, combine the apricot brandy, lemon juice, and sugar. Shake well. Strain into a sour glass. Garnish with the orange slice and the cherry. | Sour Glass
ON THE SQUARE | 1 ounce apricot brandy + 1/2 ounce Calvados + 1/2 ounce gin | In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
PARADISE | 1 1/2 ounces apricot + 1 ounce orange juice brandy + 1/2 teaspoon sweet vermouth + 1/2 ounce gin | In a mixing glass half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
BLACKPOOL TOWER | 2 ounces Bailey’s Irish whiskey + 3/4 ounce apricot brandy Cream + 1 teaspoon gin | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
CHERRY KISS | 1 ounce Bailey’s Irish whiskey + 1 ounce Chambord Cream | Pour the Bailey’s into a pousse café glass. Pouring slowly and carefully over the back of a teaspoon, float the Chambord on top of the Bailey’s. | Café Glass
DIRTY GIRL SCOUT | 1 ounce Bailey’s Irish whiskey + 1 ounce vodka Cream + 1 teaspoon green crème de menthe + 1 ounce Kahlúa | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into an old-fashioned glass almost filled with ice cubes. | Old-Fashioned Glass
IRISH FLAG | 1 ounce green crème de menthe + 1 ounce brandy + 1 ounce Bailey’s Irish whiskey Cream | Pour the crème de menthe into a pousse café glass. Pouring slowly and carefully over the back of a teaspoon, float the Irish cream on the crème de menthe and then the brandy on top of the Irish cream. | Café Glass
MORNING WITH THE LEPRECHAUNS | 1 1/2 ounces Bailey’s Irish whiskey + 3 ounces cold strong Cream coffee + 1 ounce Irish whiskey + Crushed ice + 2 teaspoons cherry brandy | Pour all of the ingredients into a highball glass almost filled with crushed ice. Stir well. | Highball Glass
B & B STINGER | 2 1/2 ounces B & B + 1/2 ounce white crème de menthe | In a mixing glass half-filled with ice cubes, combine the B & B and crème de menthe. Stir well. Strain into a cocktail glass. | Cocktail Glass
SILENT MONK | 1 ounce Bénédictine + 1 ounce light cream + 1/2 ounce Cointreau or triple sec | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
BARROW BLUES | 1 ounce blue Curaçao + 1 1/2 ounces pineapple juice + 1/2 ounce light rum + 1/2 ounce añejo rum + 1 teaspoon coconut cream | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into an old-fashioned glass almost filled with ice cubes. | Old-Fashioned Glass
GOLDEN FLEECE | 1 1/2 ounces yellow Chartreuse + 1 ounce Danzig Goldwasser | In a mixing glass half-filled with ice cubes, combine both ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
CHERRIES FROM HEAVEN | 1 1/2 ounces cherry brandy + 4 ounces tonic water + 1 ounce lemon juice + 1 lime wedge + 1 dash bitters | In a shaker half-filled with ice cubes, combine the cherry brandy, lemon juice, and bitters. Shake well. Strain into a highball glass almost filled with ice cubes. Top with the tonic water. Stir well and garnish with the lime wedge. | Highball Glass
CHERRY FLASH COLA | 1 ounce cherry brandy + 4 ounces cola + 1/2 ounce maraschino liqueur + 1 maraschino cherry | Pour the cherry brandy, maraschino liqueur, and cola into a highball glass almost filled with ice cubes. Stir well and garnish with the cherry. | Highball Glass
DUVAL | 2 ounces Cointreau + 1 ounce Sambuca | In a mixing glass half-filled with ice cubes, combine both of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
BANANARAMA | 1 ounce crème de bananes + 1 dash bitters + 1 ounce light cream + 1/2 ounce Cointreau or triple sec | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
BANSHEE | 1 1/2 ounces crème de bananes + 1 ounce white crème de cacao + 1 ounce light cream | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
GOLDEN CADILLAC | 1 1/2 ounces white crème de cacao + 3/4 ounce Galliano + 1 ounce light cream | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
SLAMDANCER | 1 ounce white crème de cacao + 1/2 ounce Kahlúa + 1/2 ounce dark crème de cacao + 2 teaspoons peppermint schnapps + 1 ounce light cream | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
CRÈME DE MENTHE FRAPPE | + Crushed ice + 2 ounces green crème de menthe | Fill a pousse café glass with crushed ice and simply pour the crème de menthe into the glass. Using the same method, a frappe may be made from any cordial. | Café Glass
DIANA | + Crushed ice + 1/2 ounce brandy + 2 ounces white crème de menthe | Fill a snifter with crushed ice and pour the crème de menthe into the glass. Pouring slowly and carefully over the back of a teaspoon, float the brandy on the crème de menthe. | Snifter
GRASSHOPPER | 1 ounce green crème de menthe + 1 ounce light cream + 1 ounce white crème de cacao | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
PINK SQUIRREL | 1 1/2 ounces crème de noyaux + 1/2 ounce white crème de cacao + 1 ounce light cream | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
ROGER SWIMS A MILE | 1 1/2 ounces Drambuie + 1/2 ounce dry vermouth + 1/2 ounce blended whiskey + 1 lemon twist | In a mixing glass half-filled with ice cubes, combine the Drambuie, whiskey, and vermouth. Stir well. Strain into a cocktail glass. Garnish with the lemon twist. | Cocktail Glass
END OF MY ROPE | 1 1/2 ounces Frangelico + 1 ounce pineapple juice + 2 teaspoons crème de bananes + 1 dash bitters | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
FRIAR TUCK | 1 1/2 ounces Frangelico + 1 teaspoon grenadine + 2 teaspoons brandy + 1 maraschino cherry + 1 ounce lemon juice | In a shaker half-filled with ice cubes, combine the Frangelico, brandy, lemon juice, and grenadine. Shake well. Strain into a cocktail glass. Garnish with the cherry. | Cocktail Glass
GOLDEN DREAM | 1 1/2 ounces Galliano + 1/2 ounce orange juice + 1/2 ounce Cointreau or triple sec + 1/2 ounce light cream | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
B-52 | 1 ounce Grand Marnier + 1/2 ounce Bailey’s Irish whiskey + 3/4 ounce Kahlúa Cream | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
CHUNNEL COCKTAIL | 1 1/2 ounces Grand Marnier + 1/2 ounce sweet vermouth + 1 ounce gin + 1 dash bitters | In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
COFFEE STICK | 1 1/2 ounces Kahlúa + 1 ounce heavy cream + 1/2 ounce Sambuca | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
DOUGLAS TOWN | 2 ounces Kahlúa + 1/2 ounce lime juice + 1 ounce tequila | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
KING ALPHONSE | 2 1/2 ounces Kahlúa + 1/2 ounce heavy cream | Pour the Kahlúa into a pousse café glass. Pour the cream slowly and carefully over the back of a teaspoon so that it floats on top of the Kahlúa. | Café Glass
MUDDY RIVER | 2 1/2 ounces Kahlúa + 1 1/2 ounces light cream | In a shaker half-filled with ice cubes, combine the Kahlúa and cream. Shake well. Strain into a cocktail glass. | Cocktail Glass
ROOT BEER | 1 ounce Kahlúa + 1/2 teaspoon superfine sugar + 1 ounce Galliano + 1 ounce lemon juice + 3 ounces cola | In a shaker half-filled with ice cubes, combine the Kahlúa, Galliano, lemon juice, and sugar. Shake well. Strain into a highball glass almost filled with ice cubes. Top with the cola. Stir well. Yes, it tastes like root beer. | Highball Glass
SOMBRERO | 2 ounces Kahlúa + 2 ounces light cream | In a shaker half-filled with ice cubes, combine the Kahlúa and cream. Shake well. Strain into a cocktail glass. | Cocktail Glass
WITCH’S TIT | 2 1/2 ounces Kahlúa + 1/2 maraschino cherry + 1/2 ounce heavy cream | Pour the Kahlú into a pousse café glass. Pour the cream slowly and carefully over the back of a teaspoon so that it floats on top of the Kahlúa. Place the cherry in the center of the cream. | Café Glass
BELLE MELON | 1 1/2 ounces melon liqueur + 1 ounce light cream + 1/2 ounce vodka | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
FOCAL POINT | 1 1/2 ounces melon liqueur + 1/2 ounce lemon juice + 1 ounce light rum + 1 teaspoon grenadine | In a shaker half-filled with ice cubes, combine the melon liqueur, rum, and lemon juice. Shake well. Strain into a cocktail glass. Drop the grenadine into the center of the drink. | Cocktail Glass
GREEN GODDESS | 1 1/2 ounces melon liqueur + 4 ounces lemon-lime soda + 1 ounce Scotch + 1 teaspoon dry vermouth | Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well. | Highball Glass
MAN IN THE MELON | 1 1/2 ounces melon liqueur + 2 ounces lemon-lime soda + 1/2 ounce vodka + 1/2 ounce Cointreau or triple sec + 2 ounces club soda + 1 lime wedge | Pour the melon liqueur, vodka, Cointreau, lemonlime soda, and club soda into a highball glass almost filled with ice cubes. Stir well and garnish with the lime wedge. | Highball Glass
MELON BALL | 1 ounce melon liqueur + 3 ounces pineapple juice + 1 ounce vodka | Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well. | Highball Glass
APOCALYPSE | 1 ounce peppermint schnapps + 1/2 ounce bourbon + 1/2 ounce vodka + 3/4 ounce Kahlúa | In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
BLUE GLORY | 2 ounces peppermint schnapps + 5 ounces lemon-lime soda + 1/2 ounce blue Curaçao | Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well. | Highball Glass
PEPPERMINT TWIST | 1 ounce peppermint schnapps + 1/2 ounce dark crème de cacao + 1 ounce Kahlúa | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
POUSSE CAFÉ | 1/2 ounce grenadine + 1/2 ounce yellow Chartreuse + 1/2 ounce crème de cassis + 1/2 ounce white crème de menthe + 1/2 ounce green Chartreuse + 1/2 ounce brandy | Starting with the grenadine and adding each ingredient in the order given, pour the liquors slowly and carefully over the back of a teaspoon into a pousse café glass so that each one floats on top of the last one in layers. | Café Glass
POUSSE CAFÉÀ LA FRANCAISE | 1/2 ounce green Chartreuse + 1/2 ounce cherry brandy + 1/2 ounce kümmel + 1/2 ounce maraschino liqueur | Starting with the Chartreuse and adding each ingredient in the order given, pour the liquors slowly and carefully over the back of a teaspoon into a pousse café glass so that each one floats on top of the last one in layers. | Café Glass
POUSSE CAFÉ STANDISH | 1/2 ounce grenadine + 1/2 ounce Galliano + 1/2 ounce white crème de menthe + 1/2 ounce kümmel + 1/2 ounce brandy | Starting with the grenadine and adding each ingredient in the order given, pour the liquors slowly and carefully over the back of a teaspoon into a pousse café glass so that each one floats on top of the last one in layers. | Café Glass
FERRIS WHEEL | 1 1/2 ounces Sambuca + 1 lemon twist + 1 ounce brandy | In a mixing glass half-filled with ice cubes, combine the Sambuca and brandy. Stir well. Strain into a cocktail glass. Garnish with the lemon twist. | Cocktail Glass
SAMBUCA STRAIGHT | 2 ounces Sambuca + 3 coffee beans | Pour the Sambuca into a brandy snifter and float the coffee beans on top. It is important always to use an odd number of coffee beans, as this is an Italian tradition that shows the guest is welcome. An even number of beans denotes an unwelcome guest. | Snifter
SAMSON | 1/2 ounce black Sambuca + 1/2 ounce amaretto (Opal Nera) + 1 1/2 ounces light cream + 1/2 ounce blackberry brandy | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
SLOE GIN FIZZ | 2 1/2 ounces sloe gin + 4 ounces club soda + 1 ounce lemon juice + 1/2 teaspoon superfine sugar | In a shaker half-filled with ice cubes, combine the sloe gin, lemon juice, and sugar. Shake well. Strain into a collins glass almost filled with ice cubes. Add the club soda. Stir well. | Collins Glass
SLOE GIN FLIP | 2 ounces sloe gin + 1/2 ounce light cream + 1 egg + 1/8 teaspoon grated nutmeg + 1/2 teaspoon superfine sugar | In a shaker half-filled with ice cubes combine the sloe gin, egg, sugar, and cream. Shake well. Strain into a sour glass and garnish with the nutmeg. | Sour Glass
SLOEHAND JACKSON | 1 1/2 ounces sloe gin + 1 ounce orange juice + 1/2 ounce gin + 1/2 ounce lemon juice + 1/2 ounce vodka + 1 teaspoon grenadine | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a highball glass almost filled with ice cubes. | Highball Glass
BRITISH COMFORT | 1 1/2 ounces Southern Comfort + 1/2 ounce lemon juice + 1 ounce orange juice + 1/2 ounce gin | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
SOUTHERN COMFORT MANHATTAN | 2 ounces Southern Comfort + 3 dashes bitters + 1 maraschino cherry + 1/2 ounce sweet vermouth | In a mixing glass half-filled with ice cubes, combine the Southern Comfort, vermouth, and bitters. Stir well. Strain into a cocktail glass. Garnish with the cherry. | Cocktail Glass
ADONIS COCKTAIL | 2 ounces dry sherry + 1 dash orange bitters + 1/2 ounce sweet vermouth | In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
ANDALUSIA | 2 ounces dry sherry + 1/2 ounce brandy + 1/2 ounce light rum | In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
BAMBOO | 2 ounces cream sherry + 1 ounce lemon juice + 1/2 ounce sweet vermouth | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
BELLINI | 2 ounces peach nectar + 4 ounces chilled sparkling wine or Champagne + 1/2 ounce lemon juice + 1 teaspoon grenadine | Pour the peach nectar, lemon juice, and grenadine into a Champagne flute. Add the Champagne. Stir well. | Champagne Flute
BETSY ROSS 2 | 1 1/2 ounces port + 2 teaspoons Cointreau or triple sec + 1 ounce brandy | In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
BISHOP | 3 ounces red wine + 1 teaspoon superfine sugar + 1 ounce lemon juice + 1 1/2 ounces orange juice + 1 orange slice | In a shaker half-filled with ice cubes, combine the red wine, lemon juice, orange juice, and sugar. Shake well. Strain into a highball glass almost filled with ice cubes. Garnish with the orange slice. | Highball Glass
BUCK’S FIZZ | 5 ounces Champagne or sparkling wine + 1 ounce orange juice + 1/2 teaspoon grenadine + 1/2 ounce Cointreau or triple sec + 1 orange slice | Pour the Champagne, Cointreau, and orange juice into a Champagne flute. Drop the grenadine into the center of the drink. Stir well. Garnish with the orange slice. | Champagne Flute
CHAMPAGNE COCKTAIL | 1 teaspoon granulated sugar + 3 dashes bitters + 6 ounces Champagne | Put the sugar in the bottom of a Champagne flute and soak it with the bitters. Top with the Champagne. | Champagne Flute
CHAMPAGNE FIZZ | 1 1/2 ounces gin + 3 ounces chilled Champagne + 1 ounce lemon juice + 1 teaspoon superfine sugar | In a shaker half-filled with ice cubes combine the gin, lemon juice, and sugar. Shake well. Strain into a Champagne flute. Add the Champagne. | Champagne Flute
CHAMPAGNE JULEP | 6 mint leaves + 2 ounces bourbon + 1 teaspoon superfine sugar + 4 ounces Champagne | In a mixing glass, combine 4 of the mint leaves with the sugar and a few drops of water. Muddle well. Add the bourbon. Stir well. Strain into a collins glass. Add ice cubes and the Champagne. Garnish with the remaining mint leaves. | Collins Glass
CLARET COBBLER | 1 teaspoon superfine sugar + 3 ounces club soda + Crushed ice + 2 1/2 ounces claret (dry red wine) + 1 maraschino cherry + 1 orange slice + 1 lemon slice | In an old-fashioned glass, dissolve the sugar in the club soda. Add crushed ice until the glass is almost | Old-Fashioned Glass
CREAM SHERRY COBBLER | 1 teaspoon superfine sugar + 2 1/2 ounces cream sherry + 3 ounces club soda + Crushed ice + 1 maraschino cherry + 1 orange slice + 1 lemon slice | In an old-fashioned glass, dissolve the sugar in the club soda. Add crushed ice until the glass is almost full. Add the sherry. Stir well. Garnish with the cherry, orange slice, and lemon slice. | Old-Fashioned Glass
CREAM SHERRY FLIP | 2 1/2 ounces cream sherry + 1 teaspoon light cream + 1 whole egg + 1/8 teaspoon grated nutmeg + 1 teaspoon superfine sugar | In a shaker half-filled with ice cubes, combine the sherry, egg, sugar, and cream. Shake well. Strain into a sour glass and garnish with the nutmeg. | Sour Glass
CREAM SHERRY SANGAREE | 1 teaspoon superfine sugar + 2 teaspoons water + 2 ounces cream sherry + Crushed ice + 2 1/2 ounces club soda + 1/2 ounce Bénédictine + 1 lemon twist + 1/8 teaspoon grated nutmeg + 1/8 teaspoon ground cinnamon | In a highball glass, dissolve the sugar in the water and sherry. Almost fill the glass with crushed ice and add the club soda. Float the Bénédictine on top. Garnish with the lemon twist and a dusting of nutmeg and cinnamon. | Highball Glass
FEROCIOUS FLIP | 1 1/2 ounces brandy + 1 ounce ruby port + 1 whole egg + 1 teaspoon superfine sugar + 1/2 ounce light cream + 1/8 teaspoon grated nutmeg | In a shaker half-filled with ice cubes, combine the brandy, port, egg, sugar, and cream. Shake well. Strain into a sour glass and garnish with the nutmeg. | Sour Glass
FRENCH REVOLUTION | 2 ounces brandy + 3 ounces chilled Champagne + 1/2 ounce framboise | In a mixing glass half-filled with ice cubes, combine the brandy and framboise. Stir well. Strain into a Champagne flute. Add the Champagne. | Champagne Flute
HILLARY WALLBANGER | 4 ounces dry white wine + 2 ounces orange juice + 1/2 ounce Galliano | In a collins class almost filled with ice cubes, combine the wine and orange juice. Stir well. Float the Galliano on top. | Collins Glass
KING’S PEG | 1 ounce brandy + 5 ounces Champagne | Pour the brandy and the Champagne into a Champagne flute. | Champagne Flute
